comparison_id,comparison_use,comparability_status,source_id,observation_id,processed_value_numeric,processed_unit,statistic_type,category_label,metric_denominator_n,denominator_status,observation_period_start,observation_period_end,geography
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O001,11.6,percent,share,"< Rp100,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O002,54.4,percent,share,"> Rp100,000 - Rp250,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O003,17.5,percent,share,"> Rp250,000 - Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O004,2.6,percent,share,"> Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O005,13.2,percent,share,Not yet a driver/partner,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O006,0.6,percent,share,TT/TJ,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O007,66.0,percent,share,"< Rp100,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O008,26.2,percent,share,"> Rp100,000 - Rp250,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O009,1.9,percent,share,"> Rp250,000 - Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O010,0.4,percent,share,"> Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O011,3.1,percent,share,Not yet a driver/partner,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O012,2.5,percent,share,TT/TJ,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O013,40.4,percent,share,"< Rp100,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O014,52.5,percent,share,"> Rp100,000 - Rp250,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O015,5.4,percent,share,"> Rp250,000 - Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O016,1.2,percent,share,"> Rp500,000",810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O017,0.0,percent,share,Not yet a driver/partner,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,SRC010,SRC010-O018,0.5,percent,share,TT/TJ,810,metric_specific_denominator_available,,,31 kabupaten/kota in Indonesia
S2C006,cross_period_mixed_cost_share,comparable_with_caveat,SRC013,SRC013-O003,46.0,percent,source_reported_ratio,,,metric_specific_denominator_unresolved,2025-12-01,2025-12-15,Indonesia; source reports 62 and 67 kabupaten/kota in different sections
S2C006,cross_period_mixed_cost_share,comparable_with_caveat,SRC029,SRC029-O006,31.0,percent,source_reported_ratio,,186,metric_specific_denominator_available,2022,2023,Jabodetabek
S2C007,seven_day_workweek_prevalence,comparable_with_caveat,SRC013,SRC013-O018,55.5,percent,share,7 workdays/week,1018,metric_specific_denominator_available,2025-12-01,2025-12-15,Indonesia; source reports 62 and 67 kabupaten/kota in different sections
S2C007,seven_day_workweek_prevalence,comparable_with_caveat,SRC029,SRC029-O013,42.2,percent,share,7 workdays/week,225,metric_specific_denominator_available,2023-04,2023-05,Jabodetabek
S2C007,seven_day_workweek_prevalence,comparable_with_caveat,SRC030,SRC030-O005,49.3,percent,share,7 workdays/week,540,metric_specific_denominator_available,2020,2020,Jabodetabek
S2C008,reported_twenty_percent_deduction_prevalence,comparable_with_caveat,SRC013,SRC013-O005,50.3,percent,share,20% deduction,1018,metric_specific_denominator_available,2025-12-01,2025-12-15,Indonesia; source reports 62 and 67 kabupaten/kota in different sections
S2C008,reported_twenty_percent_deduction_prevalence,comparable_with_caveat,SRC029,SRC029-O010,52.9,percent,share,20% deduction,225,metric_specific_denominator_available,2023-04,2023-05,Jabodetabek
